agree,يُوَافِقُ,hold;jibe;concord
function,وَظِيفَة,map;subprogram;go
grass,عُشْب,pot;Gunter Wilhelm Grass;shop
guard,يَحْرُسُ,hold;safeguard;sentry go
image,صُورَة,project;visualise;range
immediate,فَوْرِيّ,prompt;quick;straightaway
primary,أَسَاسِيّ,basal;main;primary coil
proud,فَخُور,lofty;gallant;majestic
remain,يَبْقَى,persist;rest;stay on
rest,يَسْتَرِيحُ,remainder;relaxation;rest period
separate,مُنْفَصِل,distinguish;secern;tell apart
site,مَوْقِع,land site;web site;situation
tail,ذَيْل,hind end;arse;fanny
trouble,مُشْكِلَة,disquiet;distract;trouble oneself
advertise,يُعْلِنُ,publicize;publicise;promote
aware,وَاعٍ,cognizant;cognisant;mindful
battery,بَطَّارِيَّة,assault and battery;stamp battery;barrage fire
black,أَسْوَد,lightlessness;Shirley Temple;blackened
city,مَدِينَة,metropolis;urban center
clean,يُنَظِّفُ,uninfected;unclouded;light
country,بَلَد,res publica;nation;rural area
develop,يُطَوِّرُ,produce;rise;make grow
electric,كَهْرَبَائِيّ,electric car;galvanic;galvanizing
eventually,فِي النِّهَايَة,finally
fact,حَقِيقَة,fact
glass,زُجَاج,glaze over;chicken feed;Methedrine
history,تَارِيخ,chronicle;story;account
nature,طَبِيعَة,nature
never,أَبَدًا,ne'er
people,نَاس,the great unwashed;masses;multitude
plastic,بِلَاسْتِيك,shaping;credit card;charge plate
problem,مُشْكِلَة,trouble;job
street,شَارِع,street
think,يُفَكِّرُ,recollect;opine;guess
alone,وَحِيد,unique;exclusively;solo
apartment,شُقَّة,flat
article,مَقَال,clause
artist,فَنَّان,creative person
attitude,مَوْقِف,posture;mental attitude;position
beauty,جَمَال,knockout;smasher;looker
compare,يُقَارِنُ,comparability;equivalence;equate
judge,يَحْكُمُ,try;jurist;estimate
magazine,مَجَلَّة,powder store;powder magazine;cartridge holder
material,مَادَّة,real;cloth;corporeal
meal,وَجْبَة,repast
method,طَرِيقَة,method acting
neighbor,جَار,neighbour
professional,مُحْتَرِف,pro;professional person;master
profit,رِبْح,net profit;lucre;gain
quality,جَوْدَة,character;lineament;choice
space,مِسَاحَة,distance;quad;outer space
stair,دَرَج,step
symbol,رَمْز,symbolization;symbolisation;symbolic representation
thin,نَحِيف,lose weight;fragile;melt off
accounting,مُحَاسَبَة,accounting system;accountancy;answer for
appeal,يَجْذِبُ,solicitation;appealingness;charm
assume,يَفْتَرِضُ,presume;feign;strike
borrow,يَسْتَعِيرُ,adopt;take over;take up
client,عَمِيل,node;guest;customer
downtown,وَسَطَ الْمَدِينَة,business district
dull,مُمِلّ,slow;boring;damp
embarrass,يُحْرِجُ,blockade;stymie;block
fare,أُجْرَة,come;get along;menu
former,سَابِق,sometime;other;early
found,أَنْشَأَ,institute;constitute;retrieve
invest,يَسْتَثْمِرُ,gift;put;empower
loan,قَرْض,loanword;lend
practical,عَمَلِيّ,pragmatic;hardheaded;virtual
quarter,رُبْع,fourth;one-fourth;twenty-five percent
salary,رَاتِب,pay;remuneration;wage
scholarship,مِنْحَة دِرَاسِيَّة,encyclopaedism;eruditeness;encyclopedism
temporary,مُؤَقَّت,temp;irregular;impermanent
treasure,كَنْز,hold dear;prize;appreciate
urge,يَحُثُّ,barrack;urge on;exhort
coach,مُدَرِّب,omnibus;double-decker;tutor
control,يَتَحَكَّمُ,command;moderate;manipulate
description,وَصْف,verbal description
direct,مُبَاشِر,lead;mastermind;manoeuvre
exam,امْتِحَان,test;examination
example,مِثَال,representative;instance;exercise
limit,حَدّ,point of accumulation;circumscribe;limit point
local,مَحَلِّيّ,local anaesthetic;topical anaesthetic;local anesthetic
magical,سِحْرِيّ,witching;wizardly;sorcerous
mail,بَرِيد,chain armor;mail service;postal service
novel,رِوَايَة,fresh;refreshing;new
outline,مُخَطَّط,lineation;abstract;scheme
poet,شَاعِر,poet
print,يَطْبَعُ,mark;publish;impress
scene,مَشْهَد,prospect;picture;fit
sheet,وَرَقَة,rag;sail;tack
silly,سَخِيف,cockamamy;goofy;giddy
store,مَتْجَر,fund;entrepot;hive away
suffer,يُعَانِي,tolerate;stand;stomach
technology,تِقْنِيَة,engineering science;applied science;engineering
across,عَبْرَ,crossways;crosswise
breathe,يَتَنَفَّسُ,take a breath;respire;emit
characteristic,صِفَة,device characteristic;feature
consume,يَسْتَهْلِكُ,take in;run through;squander
excite,يُثِيرُ,commove;energise;stir
extremely,لِلْغَايَة,passing;super;exceedingly
fear,خَوْف,revere;veneration;concern
fortunate,مَحْظُوظ,rosy;golden
happen,يَحْدُثُ,hap;materialize;bechance
length,طُول,distance;duration
mistake,خَطَأ,misunderstanding;misapprehension;error
observe,يُلَاحِظُ,celebrate;honour;keep
opportunity,فُرْصَة,chance
prize,جَائِزَة,prise;respect;pillage
race,سِبَاق,raceway;cannonball along;hasten
realize,يُدْرِكُ,realise;take in;substantiate
respond,يَسْتَجِيبُ,answer;reply;react
risk,مُخَاطَرَة,peril;risk of infection;endangerment
wonder,يَتَسَاءَلُ,enquire;wonderment;curiosity
yet,بَعْد,hitherto;up to now;even so
art,فَنّ,artwork;artistic production;artistry
book,كِتَاب,reserve;Quran;script
clothes,مَلَابِس,invest;fit out;robe
community,مُجْتَمَع,community of interests;biotic community;residential area
December,دِيسَمْبَر,Dec
dinner,عَشَاء,dinner party
end,يَنْتَهِي,last;remainder;goal
exchange,يَتَبَادَلُ,central;change;rally
family,عَائِلَة,family line;crime syndicate;folk
from,مِنْ,from
green,أَخْضَر,putting surface;gullible;super C
home,مَنْزِل,rest home;nursing home;house
January,يَنَايِر,Jan
red,أَحْمَر,crimson;reddish;cherry-red
seven,سَبْعَة,seven-spot;7;sevener
start,يَبْدَأُ,get-go;first;depart
together,مَعًا,in concert;unitedly
university,جَامِعَة,university
wear,يَرْتَدِي,fatigue;wearing;hold out
year,سَنَة,class;yr;twelvemonth
appreciate,يُقَدِّرُ,prize;apprize;value
available,مُتَاح,uncommitted;usable;useable
beat,يَهْزِمُ,pound;scramble;cadence
bright,مُشْرِق,smart;undimmed;burnished
celebrate,يَحْتَفِلُ,observe;keep;lionize
decide,يُقَرِّرُ,settle;make up one's mind;resolve
disappear,يَخْتَفِي,melt;go away;vanish
else,آخَر,else
fair,عَادِل,mediocre;honest;evenhandedly
flow,يَتَدَفَّقُ,period;flux;run
forward,إِلَى الْأَمَام,forth;ahead;advancing
hill,تَلّ,J. J. Hill;Alfred Hawthorne;pitcher's mound
level,مُسْتَوَى,spirit level;flat;charge
lone,وَحِيد,lonesome;sole;only
puddle,بِرْكَة,pee;spend a penny;addle
response,اسْتِجَابَة,reply;answer;reception
season,فَصْل,flavor;harden;flavour
solution,حَلّ,result;root;resolution
waste,يُهْدِرُ,dissipation;consume;neutralize
whether,سَوَاء,whether
always,دَائِمًا,forever;incessantly;invariably
ask,يَسْأَلُ,demand;postulate;enquire
banana,مَوْزَة,banana tree
bread,خُبْز,gelt;lucre;boodle
cake,كَعْكَة,coat;bar;patty
carrot,جَزَرَة,cultivated carrot;Daucus carota sativa
chicken,دَجَاج,lily-livered;yellow-bellied;yellow
chocolate,شُوكُولَاتَة,umber;hot chocolate;cocoa
contain,يَحْتَوِي,hold;moderate;hold in
delicious,لَذِيذ,scrumptious;toothsome;delectable
diet,نِظَام غِذَائِيّ,dieting
eat,يَأْكُلُ,run through;eat up;use up
food,طَعَام,intellectual nourishment;food for thought;solid food
fruit,فَاكِهَة,yield
great,عَظِيم,nifty;neat;capital
health,صِحَّة,wellness
recipe,وَصْفَة,formula
restaurant,مَطْعَم,eatery;eating place;eating house
special,خَاصّ,limited;peculiar;particular
water,مَاء,pee;irrigate;piss
alive,حَيّ,alert;animated;awake
bone,عَظْم,grind away;bone up;swot
bother,يُزْعِجُ,devil;rag;annoy
captain,قُبْطَان,maitre d'hotel;police chief;police captain
conclusion,خَاتِمَة,last;ratiocination;end
doubt,شَكّ,uncertainty;doubtfulness;dubiety
explore,يَسْتَكْشِفُ,search;research
glad,سَعِيد,happy;beaming;gladiola
however,مَعَ ذَلِكَ,nevertheless;nonetheless;notwithstanding
injustice,ظُلْم,unjustness;unfairness;iniquity
international,دَوْلِيّ,International;external;outside
lawyer,مُحَامٍ,attorney
mention,يَذْكُرُ,observe;advert;name
old,قَدِيم,sometime;former;sure-enough
policy,سِيَاسَة,insurance;insurance policy
social,اجْتِمَاعِيّ,mixer;sociable;societal
speech,خِطَاب,words;talking to;spoken language
staff,طَاقَم,stave;faculty
toward,نَحْوَ,toward
wood,خَشَب,Ellen Price Wood;Natalie Wood;Sir Henry Joseph Wood
achieve,يُحَقِّقُ,attain;reach;accomplish
advise,يَنْصَحُ,notify;apprise;give notice
already,بِالْفِعْل,already
basic,أَسَاسِيّ,introductory;staple;canonical
bit,قَلِيلًا,sting;seize with teeth;second
consider,يَعْتَبِرُ,debate;reckon;study
destroy,يُدَمِّرُ,ruin;demolish;put down
entertain,يُسَلِّي,hold;harbour;nurse
extra,إِضَافِيّ,supernumerary;surplus;supererogatory
goal,هَدَف,finish;end;destination
lie,يَكْذِبُ,lie down;dwell;consist
meat,لَحْم,center;inwardness;sum
opinion,رَأْي,popular opinion;persuasion;public opinion
real,حَقِيقِيّ,very;literal;genuine
reflect,يَعْكِسُ,meditate;mull over;excogitate
regard,يَعْتَبِرُ,attentiveness;reckon;heed
serve,يَخْدِمُ,service;dish;attend
vegetable,خُضْرَوَات,veg;veggie
war,حَرْب,warfare;state of war
worth,يَسْتَحِقُّ,Worth;Charles Frederick Worth;deserving
appear,يَظْهَرُ,come along;come out;look
base,قَاعِدَة,bag;stand;immoral
brain,دِمَاغ,Einstein;brainiac;mastermind
career,مِهْنَة,life history;vocation;calling
clerk,مُوَظَّف,shop assistant;salesclerk;shop clerk
effort,جَهْد,crusade;try;endeavor
enter,يَدْخُلُ,embark;recruit;go into
excellent,مُمْتَاز,splendid;fantabulous;first-class
hero,بَطَل,Hero of Alexandria;grinder;submarine sandwich
hurry,يُسْرِعُ,precipitation;hurriedness;travel rapidly
inform,يُبْلِغُ,inform
later,لَاحِقًا,ulterior;after;subsequently
leave,يُغَادِرُ,leave of absence;lead;depart
locate,يُحَدِّدُ مَوْقِع,situate;site;settle
nurse,مُمَرِّضَة,hold;harbour;harbor
operation,عَمَلِيَّة,mathematical process;process;military operation
pain,أَلَم,painful sensation;ail;botheration
refuse,يَرْفُضُ,pass up;turn down;deny
though,بِالرَّغْمِ مِنْ,though
various,مُتَنَوِّع,several;respective;versatile
actual,فِعْلِيّ,literal;real;genuine
amaze,يُدْهِشُ,perplex;beat;astound
charge,رُسُوم,appoint;shoot;guardianship
comfort,يُرِيحُ,comforter;consolation;console
contact,يَتَّصِلُ,link;get through;tangency
customer,زَبُون,client
deliver,يُوَصِّلُ,deport;turn in;redeem
earn,يَكْسِبُ,take in;realise;realize
gate,بَوَّابَة,logic gate
include,يَشْمَلُ,let in;admit
manage,يُدِيرُ,pull off;wangle;make do
mystery,لُغْز,closed book;mystery story;secret
occur,يَحْدُثُ,come;hap;happen
opposite,عَكْس,diametrical;contrary;paired
plate,طَبَق,shell;home plate;crustal plate
receive,يَسْتَلِمُ,experience;take in;invite
reward,مُكَافَأَة,honour;reinforcement;repay
set,يَضَعُ,put;primed;bent
steal,يَسْرِقُ,bargain;buy;slip
thief,لِصّ,stealer
advance,يَتَقَدَّمُ,feeler;come along;kick upstairs
athlete,رِيَاضِيّ,jock
average,مُتَوَسِّط,norm;mean;mediocre
behavior,سُلُوك,doings;conduct;demeanor
behind,خَلْفَ,hind end;arse;slow
course,مَسَاق,course of instruction;class;path
lower,يُخَفِّضُ,bring down;miserable;glower
match,يُطَابِقُ,pair;correspond;peer
member,عُضْو,appendage;fellow member;extremity
mental,عَقْلِيّ,genial
passenger,رَاكِب,rider
personality,شَخْصِيَّة,personality
poem,قَصِيدَة,verse form
pole,عَمُود,magnetic pole;rod;celestial pole
remove,يُزِيلُ,hit;take away;murder
safety,أَمَان,rubber;safe;condom
shoot,يُطْلِقُ النَّار,hit;photograph;pullulate
sound,يَبْدُو,speech sound;go;phone
swim,يَسْبَحُ,swimming;drown;float
web,شَبَكَة,entanglement;vane;network
block,كُتْلَة,blockade;stymie;impede
bury,يَدْ��ِنُ,swallow;swallow up;eat up
cheer,يَهْتِفُ,cheer up;barrack;urge on
complex,مُعَقَّد,building complex;coordination compound;composite
critic,نَاقِد,critic
direction,اتِّجَاه,counselling;steering;centering
event,حَدَث,result;case;upshot
exercise,يَتَمَرَّنُ,workout;example;employment
friendship,صَدَاقَة,friendly relationship
guide,مُرْشِد,lead;guidebook;steer
lack,نَقْص,miss;deficiency;want
perform,يُؤَدِّي,do;execute
pressure,ضَغْط,force;insistency;squeeze
probably,رُبَّمَا,belike;plausibly;in all probability
public,عَامّ,populace;world
smart,ذَكِيّ,bright;voguish;smartness
strike,يَضْرِبُ,hit;shine;light upon
support,يَدْعَمُ,patronize;back;tolerate
term,مُصْطَلَح,condition;full term;terminus
unite,يَتَّحِدُ,link;join;combine
associate,يَرْبِطُ,link;tie in;fellow
environment,بِيئَة,environs;surround;surroundings
factory,مَصْنَع,manufactory;manufacturing plant;mill
feature,مِيزَة,lineament;characteristic;have
instance,مِثَال,representative;case;example
involve,يَشْمَلُ,demand;postulate;imply
medicine,دَوَاء,practice of medicine;medical specialty;medication
mix,خَلِيط,flux;amalgamate;admixture
organize,يُنَظِّمُ,direct;unionise;mastermind
period,فَتْرَة,geological period;menstruum;period of time
populate,يَسْكُنُ,dwell;live;inhabit
produce,يُنْتِجُ,bring out;green goods;raise
range,مَدَى,roam;rate;stove
recognize,يَتَعَرَّفُ عَلَى,spot;realise;distinguish
regular,مُنْتَظَم,steady;even;unconstipated
sign,عَلَامَة,signboard;bless;signal
tip,طَرَف,bakshis;lead;topple
tradition,تَقْلِيد,custom
trash,قُمَامَة,scum;junk;chicken feed
wide,وَاسِع,all-encompassing;wide-cut;panoptic
advice,نَصِيحَة,advice
along,عَلَى طُولِ,on
attention,انْتِبَاه,tending;aid;attending
attract,يَجْذِبُ,draw;appeal;pull in
climb,يَتَسَلَّقُ,wax;ascent;rise
drop,يَسْقُطُ,dangle;unload;cast off
final,نِهَائِيّ,last;final examination;concluding
further,أَبْعَد,far;boost;advance
imply,يُلَمِّحُ,mean;connote;entail
maintain,يُحَافِظُ عَلَى,hold;uphold;observe
neither,لَا هَذَا وَلَا ذَاكَ,neither
otherwise,وَإِلَّا,differently;other than
physical,جَسَدِيّ,forcible;strong-arm
prove,يُثْبِتُ,bear witness;try;turn out
react,يَتَفَاعَلُ,respond;oppose
ride,يَرْكَبُ,rag;hinge upon;hinge on
situated,يَقَعُ,situate;placed;located
society,مُجْتَمَع,order;bon ton;guild
standard,مِعْيَار,measure;stock;criterion
suggest,يَقْتَرِحُ,advise;propose;evoke
actually,فِي الْوَاقِع,in reality;really
bite,عَضَّة,snack;sharpness;bit
coast,سَاحِل,sea-coast;glide;seashore
deal,صَفْقَة,deal out;parcel out;pot
desert,صَحْرَاء,forsake;abandon;defect
effective,فَعَّال,efficacious;in force;effectual
examine,يَفْحَصُ,try;study;canvass
false,خَاطِئ,faithlessly;delusive;fake
figure out,يَكْتَشِفُ,figure out
gift,هَدِيَّة,natural endowment;empower;endue
hunger,جُوع,thirst;starve;lust
imagine,يَتَخَيَّلُ,conceive of;reckon;think
journey,رِحْلَة,travel;journeying
puzzle,لُغْز,nonplus;mystifier;perplex
quite,تَمَامًا,quite a;quite an;rather
rather,بَدَلًا مِنْ,sort of;instead;sooner
specific,مُحَدَّد,particular
spider,عَنْكَبُوت,wanderer
tour,جَوْلَة,turn;circuit;enlistment
trip,رِحْلَة,actuate;stumble;set off
band,فِرْقَة,stria;banding;lot
barely,بِالْكَاد,hardly;scarcely;scarce
boring,مُمِلّ,slow;ho-hum;drill
cancel,يُلْغِي,call off;invalidate;offset
driveway,مَمَرّ,private road;drive
garbage,قُمَامَة,drivel;refuse;food waste
instrument,آلَة,cat's-paw;tool;instrumentate
list,قَائِمَة,name;leaning;heel
magic,سِحْر,trick;witching;conjuring trick
message,رِسَالَة,substance;content;subject matter
notice,يُلَاحِظُ,discover;observance;notification
own,يَمْتَلِكُ,ain;have;possess
predict,يَتَنَبَّأُ,presage;call;prognosticate
professor,أُسْتَاذ جَامِعِيّ,prof
rush,يَنْدَفِعُ,Benjamin Rush;festinate;rushed
schedule,جَدْوَل,docket;agenda
share,يُشَارِكُ,part;ploughshare;partake
stage,مَسْرَح,represent;phase;degree
storm,عَاصِفَة,force;rage;violent storm
within,فِي غُضُون,inside
burden,عِبْء,weight down;encumbrance;saddle
compromise,يَتَنَازَلُ,via media
craft,يَصْنَعُ,foxiness;workmanship;trade
dive,يَغُوصُ,honkytonk;nose dive;diva
fragile,هَشّ,flimsy;thin;tenuous
half,نِصْف,one-half
innocence,بَرَاءَة,artlessness;pureness;whiteness
lead,يَقُودُ,leash;lede;moderate
meeting,اجْتِمَاع,play;contact;run across
merge,يَدْمُجُ,flux;meld;coalesce
moderate,مُعْتَدِل,chasten;chair;lead
overwhelm,يَطْغَى,deluge;sweep over;whelm
payment,دَفْعَة,requital;defrayment;defrayal
perception,إِدْرَاك,percept;sensing;perceptual experience
settle,يُسَوِّي,reconcile;square off;resolve
shiver,يَرْتَجِفُ,shudder;chill;tingle
sociable,اجْتِمَاعِيّ,mixer;social
speed,سُرْعَة,speeding;zip;velocity
talkative,ثَرْثَار,chatty;loquacious;talky
usual,مُعْتَاد,common
above,فَوْقَ,to a higher place;supra;higher up
ahead,أَمَامَ,in the lead;before;forward
amount,كَمِّيَّة,measure;come;sum
belief,اعْتِقَاد,opinion;impression;notion
center,مَرْكَز,center field;inwardness;snapper
common,شَائِع,usual;commons;uncouth
cost,يُكَلِّفُ,price;monetary value;toll
demonstrate,يُوَضِّحُ,exhibit;manifest;evidence
different,مُخْتَلِف,dissimilar;unlike
evidence,دَلِيل,bear witness;manifest;grounds
honesty,صِدْق,satin flower;Lunaria annua;honestness
idiom,مُصْطَلَح,accent;parlance;artistic style
independent,مُسْتَقِلّ,sovereign;autonomous;freelancer
inside,دَاخِل,at bottom;inner;inwardly
jail,سِجْن,imprison;jug;clink
master,سَيِّد,get the hang;sea captain;dominate
memory,ذَاكِرَة,retentivity;memory board;retentiveness
pocket,جَيْب,bag;scoop;air pocket
proper,لَائِق,right
sale,تَخْفِيض,sales agreement;sales event;cut-rate sale
because,لِأَنَّ,because
east,شَرْق,East;Orient;eastward
expensive,غَالٍ,expensive
flower,زَهْرَة,heyday;prime;blossom
garden,حَدِيقَة,garden
holiday,عُطْلَة,vacation
many,كَثِير,many
million,مِلْيُون,billion;zillion;meg
mountain,جَبَل,pot;plenty;stack
place,مَكَان,rate;put;situation
popular,شَعْبِيّ,pop;democratic
ski,يَتَزَلَّج,ski
such,مِثْل,such
total,مَجْمُوع,amount;come;tot up
tower,بُرْج,tug;hulk;pillar
town,بَلْدَة,township;Town;townsfolk
train,قِطَار,geartrain;power train;civilize
walk,يَمْشِي,walk of life;base on balls;paseo
watch,يُشَاهِد,ticker;vigil;watch out
world,عَالَم,earthly concern;planetary;humankind
anxious,قَلِق,nervous;unquiet;dying
awful,سَيِّئ,awed;dire;dread
consist,يَتَكَوَّنُ,comprise;dwell;lie in
desire,يَرْغَبُ,trust;hope;want
eager,مُتَلَهِّف,tidal bore;eagre;bore
