agree,يُوَافِقُ
health,صِحَّة
recipe,وَصْفَة
restaurant,مَطْعَم
special,خَاصّ
water,مَاء
alive,حَيّ
bone,عَظْم
bother,يُزْعِجُ
captain,قُبْطَان
conclusion,خَاتِمَة
doubt,شَكّ
explore,يَسْتَكْشِفُ
glad,سَعِيد
however,مَعَ ذَلِكَ
injustice,ظُلْم
international,دَوْلِيّ
lawyer,مُحَامٍ
mention,يَذْكُرُ
old,قَدِيم
policy,سِيَاسَة
social,اجْتِمَاعِيّ
speech,خِطَاب
staff,طَاقَم
toward,نَحْوَ
wood,خَشَب
achieve,يُحَقِّقُ
advise,يَنْصَحُ
already,بِالْفِعْل
basic,أَسَاسِيّ
bit,قَلِيلًا
consider,يَعْتَبِرُ
destroy,يُدَمِّرُ
entertain,يُسَلِّي
extra,إِضَافِيّ
goal,هَدَف
lie,يَكْذِبُ
meat,لَحْم
opinion,رَأْي
real,حَقِيقِيّ
reflect,يَعْكِسُ
regard,يَعْتَبِرُ
serve,يَخْدِمُ
vegetable,خُضْرَوَات
war,حَرْب
worth,يَسْتَحِقُّ
appear,يَظْهَرُ
base,قَاعِدَة
brain,دِمَاغ
career,مِهْنَة
clerk,مُوَظَّف
effort,جَهْد
enter,يَدْخُلُ
excellent,مُمْتَاز
hero,بَطَل
hurry,يُسْرِعُ
inform,يُبْلِغُ
later,لَاحِقًا
leave,يُغَادِرُ
locate,يُحَدِّدُ مَوْقِع
nurse,مُمَرِّضَة
operation,عَمَلِيَّة
pain,أَلَم
refuse,يَرْفُضُ
though,بِالرَّغْمِ مِنْ
various,مُتَنَوِّع
actual,فِعْلِيّ
amaze,يُدْهِشُ
charge,رُسُوم
comfort,يُرِيحُ
contact,يَتَّصِلُ
customer,زَبُون
deliver,يُوَصِّلُ
earn,يَكْسِبُ
gate,بَوَّابَة
include,يَشْمَلُ
manage,يُدِيرُ
mystery,لُغْز
occur,يَحْدُثُ
opposite,عَكْس
plate,طَبَق
receive,يَسْتَلِمُ
reward,مُكَافَأَة
set,يَضَعُ
steal,يَسْرِقُ
thief,لِصّ
advance,يَتَقَدَّمُ
athlete,رِيَاضِيّ
average,مُتَوَسِّط
behavior,سُلُوك
behind,خَلْفَ
course,مَسَاق
lower,يُخَفِّضُ
match,يُطَابِقُ
member,عُضْو
mental,عَقْلِيّ
passenger,رَاكِب
personality,شَخْصِيَّة
poem,قَصِيدَة
pole,عَمُود
remove,يُزِيلُ
safety,أَمَان
shoot,يُطْلِقُ النَّار
sound,يَبْدُو
swim,يَسْبَحُ
web,شَبَكَة
block,كُتْلَة
bury,يَدْ��ِنُ
cheer,يَهْتِفُ
complex,مُعَقَّد
critic,نَاقِد
direction,اتِّجَاه
event,حَدَث
exercise,يَتَمَرَّنُ
friendship,صَدَاقَة
guide,مُرْشِد
lack,نَقْص
perform,يُؤَدِّي
pressure,ضَغْط
probably,رُبَّمَا
public,عَامّ
smart,ذَكِيّ
strike,يَضْرِبُ
support,يَدْعَمُ
term,مُصْطَلَح
unite,يَتَّحِدُ
associate,يَرْبِطُ
environment,بِيئَة
factory,مَصْنَع
feature,مِيزَة
instance,مِثَال
involve,يَشْمَلُ
medicine,دَوَاء
mix,خَلِيط
organize,يُنَظِّمُ
period,فَتْرَة
populate,يَسْكُنُ
produce,يُنْتِجُ
range,مَدَى
recognize,يَتَعَرَّفُ عَلَى
regular,مُنْتَظَم
sign,عَلَامَة
tip,طَرَف
tradition,تَقْلِيد
trash,قُمَامَة
wide,وَاسِع
advice,نَصِيحَة
along,عَلَى طُولِ
attention,انْتِبَاه
attract,يَجْذِبُ
climb,يَتَسَلَّقُ
drop,يَسْقُطُ
final,نِهَائِيّ
further,أَبْعَد
imply,يُلَمِّحُ
maintain,يُحَافِظُ عَلَى
neither,لَا هَذَا وَلَا ذَاكَ
otherwise,وَإِلَّا
physical,جَسَدِيّ
prove,يُثْبِتُ
react,يَتَفَاعَلُ
ride,يَرْكَبُ
situated,يَقَعُ
society,مُجْتَمَع
standard,مِعْيَار
suggest,يَقْتَرِحُ
actually,فِي الْوَاقِع
bite,عَضَّة
coast,سَاحِل
deal,صَفْقَة
desert,صَحْرَاء
effective,فَعَّال
examine,يَفْحَصُ
false,خَاطِئ
figure out,يَكْتَشِفُ
gift,هَدِيَّة
hunger,جُوع
imagine,يَتَخَيَّلُ
journey,رِحْلَة
puzzle,لُغْز
quite,تَمَامًا
rather,بَدَلًا مِنْ
specific,مُحَدَّد
spider,عَنْكَبُوت
tour,جَوْلَة
trip,رِحْلَة
band,فِرْقَة
barely,بِالْكَاد
boring,مُمِلّ
cancel,يُلْغِي
driveway,مَمَرّ
garbage,قُمَامَة
instrument,آلَة
list,قَائِمَة
magic,سِحْر
message,رِسَالَة
notice,يُلَاحِظُ
own,يَمْتَلِكُ
predict,يَتَنَبَّأُ
professor,أُسْتَاذ جَامِعِيّ
rush,يَنْدَفِعُ
schedule,جَدْوَل
share,يُشَارِكُ
stage,مَسْرَح
storm,عَاصِفَة
within,فِي غُضُون
burden,عِبْء
compromise,يَتَنَازَلُ
craft,يَصْنَعُ
dive,يَغُوصُ
fragile,هَشّ
half,نِصْف
innocence,بَرَاءَة
lead,يَقُودُ
meeting,اجْتِمَاع
merge,يَدْمُجُ
moderate,مُعْتَدِل
overwhelm,يَطْغَى
payment,دَفْعَة
perception,إِدْرَاك
settle,يُسَوِّي
shiver,يَرْتَجِفُ
sociable,اجْتِمَاعِيّ
speed,سُرْعَة
talkative,ثَرْثَار
usual,مُعْتَاد
above,فَوْقَ
ahead,أَمَامَ
amount,كَمِّيَّة
belief,اعْتِقَاد
center,مَرْكَز
common,شَائِع
cost,يُكَلِّفُ
demonstrate,يُوَضِّحُ
different,مُخْتَلِف
evidence,دَلِيل
honesty,صِدْق
idiom,مُصْطَلَح
independent,مُسْتَقِلّ
inside,دَاخِل
jail,سِجْن
master,سَيِّد
memory,ذَاكِرَة
pocket,جَيْب
proper,لَائِق
sale,تَخْفِيض
because,لِأَنَّ
east,شَرْق
expensive,غَالٍ
flower,زَهْرَة
garden,حَدِيقَة
holiday,عُطْلَة
many,كَثِير
million,مِلْيُون
mountain,جَبَل
place,مَكَان
popular,شَعْبِيّ
ski,يَتَزَلَّج
such,مِثْل
total,مَجْمُوع
tower,بُرْج
town,بَلْدَة
train,قِطَار
walk,يَمْشِي
watch,يُشَاهِد
world,عَالَم
anxious,قَلِق
awful,سَيِّئ
consist,يَتَكَوَّنُ
desire,يَرْغَبُ
eager,مُتَلَهِّف
household,أُسْرَة
intent,قَصْد
landscape,مَنْظَر طَبِيعِيّ
lift,يَرْفَعُ
load,يُحَمِّلُ
lung,رِئَة
motion,حَرَكَة
pace,وَتِيرَة
polite,مُهَذَّب
possess,يَمْتَلِكُ
rapidly,بِسُرْعَة
remark,يُلَاحِظُ
seek,يَبْحَثُ
shine,يَلْمَعُ
spill,يَسْكُبُ
arrow,سَهْم
battle,مَعْرَكَة
bow,قَوْس
brave,شُجَاع
chief,زَعِيم
disadvantage,عَيْب
enemy,عَدُوّ
entrance,مَدْخَل
hardly,بِالْك��اد
intend,يَنْوِي
laughter,ضَحِك
log,جِذْع
military,عَسْكَرِيّ
obey,يُطِيعُ
secure,يُؤَمِّنُ
steady,ثَابِت
trust,يَثِقُ
twist,يَلْوِي
unless,إِلَّا إِذَا
weapon,سِلَاح
chest,صَدْر
confidence,ثِقَة
consequence,عَاقِبَة
disaster,كَارِثَة
disturb,يُزْعِجُ
estimate,يُقَدِّرُ
honor,يُكَرِّمُ
impress,يُثِيرُ إِعْجَاب
narrow,ضَيِّق
pale,شَاحِب
rough,خَشِن
satisfy,يُرْضِي
scream,يَصْرُخُ
sensitive,حَسَّاس
shade,ظِلّ
strength,قُوَّة
supplement,يُكَمِّلُ
terror,رُعْب
threat,تَهْدِيد
victim,ضَحِيَّة
ancestor,سَلَف
angle,زَاوِيَة
boot,حِذَاء طَوِيل
border,حَدّ
congratulate,يُهَنِّئُ
frame,إِطَار
heaven,جَنَّة
incredible,لَا يُصَدَّق
legend,أُسْطُورَة
praise,يَمْدَحُ
proceed,يُوَاصِلُ
pure,نَقِيّ
relative,قَرِيب
senior,أَقْدَم
silent,صَامِت
sink,يَغْرَقُ
superior,أَفْضَل
surround,يُحِيطُ
thick,سَمِيك
wrap,يَغْلِفُ
also,أَيْضًا
automatically,تِلْقَائِيًّا
busy,مَشْغُول
can,يَس��تَطِيعُ
clear,يُنَظِّفُ
close,يُغْلِقُ
discuss,يُنَاقِشُ
feel,يَشْعُرُ
listen,يَسْتَمِعُ
meet,يَلْتَقِي
music,مُوسِيقَى
normal,عَادِيّ
quiet,هَادِئ
relax,يَسْتَرْخِي
sleep,يَنَامُ
stress,إِجْهَاد
study,يَدْرُسُ
talk,يَتَحَدَّثُ
work,يَعْمَلُ
write,يَكْتُبُ
basis,أَسَاس
biology,عِلْمُ الْأَحْيَاء
cage,قَفَص
colleague,زَمِيل
colony,مُسْتَعْمَرَة
debate,يُنَاظِرُ
depart,يُغَادِرُ
depress,يُحْبِطُ
factual,وَاقِعِيّ
fascinate,يَسْحَرُ
mission,مُهِمَّة
nevertheless,وَمَعَ ذَلِكَ
occupation,مِهْنَة
overseas,عَبْرَ الْبِحَار
persuade,يُقْنِعُ
route,طَرِيق
ruins,أَطْلَال
scholar,عَالِم
significant,هَامّ
volcano,بُرْكَان
broad,عَرِيض
bush,شُجَيْرَة
capable,قَادِر
cheat,يَغُشُّ
concentrate,يُرَكِّزُ
conclude,يَسْتَنْتِجُ
confident,وَاثِق
considerable,كَبير
convey,يَنْقُلُ
definite,مُؤَكَّد
delight,بَهْجَة
destination,وِجْهَة
edge,حَافَة
instructions,تَعْلِيمَات
path,مَمَرّ
resort,يَلْجَأُ
shadow,ظِلّ
succeed,يَنْجَحُ
suspect,يَشْتَبِهُ
valley,وَادٍ
against,ضِدّ
beach,شَاطِئ
damage,يُتْلِفُ
discover,يَكْتَشِفُ
emotion,عَاطِفَة
fix,يُصْلِحُ
identify,يَتَعَرَّفُ عَلَى
island,جَزِيرَة
ocean,مُحِيط
perhaps,رُبَّمَا
pleasant,لَطِيف
prevent,يَمْنَعُ
rock,صَخْرَة
save,يُنْقِذُ
smile,يَبْتَسِمُ
step,يَخْطُو
still,لَا يَزَال
taste,مَذَاق
throw,يَرْمِي
wave,مَوْجَة
citizen,مُوَاطِن
council,مَجْلِس
declare,يُعْلِنُ
enormous,ضَخْم
extraordinary,اسْتِثْنَائِيّ
fog,ضَبَاب
funeral,جَنَازَة
giant,عِمْلَاق
impression,انْطِبَاع
intention,نِيَّة
mad,غَاضِب
ought,يَجِبُ
resist,يُقَاوِمُ
reveal,يَكْشِفُ
rid,يَتَخَلَّصُ مِنْ
sword,سَيْف
tale,حِكَايَة
trap,يَصْطَادُ
trial,مُحَاكَمَة
violent,عَنِيف
admission,قَبُول
astronomy,عِلْمُ الْفَلَك
blame,يَلُومُ
chemistry,كِيمْيَاء
despite,عَلَى الرَّغْمِ مِنْ
dinosaur,دِينَاصُور
exhibit,يَعْرِضُ
fame,شُهْرَة
forecast,تَنَبُّؤ
genius,عَبْقَرِيّ
gentle,لَطِيف
geography,جُغْرَافِيَا
interfere,يَتَدَخَّلُ
lightly,بِخِفَّة
principal,مُدِير
row,صَفّ
shelf,رَفّ
spite,حِقْد
super,رَائِع
wet,مُبَلَّل
abuse,يُسِيءُ مُعَامَلَة
afford,يَتَحَمَّلُ نَفَقَة
bake,يَخْبِزُ
bean,فُول
candle,شَمْعَة
convert,يُحَوِّلُ
debt,دَيْن
decrease,يُقَلِّلُ
fault,خَطَأ
fund,صُنْدُوق
generous,كَرِيم
ingredient,مُكَوِّن
insist,يُصِرُّ
mess,فَوْضَى
metal,مَعْدِن
monitor,يُرَاقِبُ
oppose,يُعَارِضُ
passive,سَلْبِيّ
quantity,كَمِّيَّة
sue,يُقَاضِي
adequate,كَافٍ
anxiety,قَلَق
army,جَيْش
billion,مِلْيَار
carve,يَنْحَتُ
consult,يَسْتَشِيرُ
emergency,طَارِئ
fortune,حَظّ
guarantee,يَضْمَنُ
initial,أَوَّلِيّ
intense,شَدِيد
lend,يُقْرِضُ
peak,قِمَّة
potential,إِمْكَانِيَّة
pride,فَخْر
proof,دَلِيل
quit,يَتَوَقَّفُ
spin,يَدُورُ
tiny,صَغِير جِدًّا
tutor,مُدَرِّس خُصُوصِيّ
apparent,وَاضِح
blind,أَعْمَى
calculate,يَحْسُبُ
chat,يُدَرْدِشُ
commit,يَلْتَزِمُ
compose,يُؤَلِّفُ
dormitory,سَكَن طُلَّابِيّ
exhaust,يُرْهِقُ
greenhouse,دَفِيئَة
ignore,يَتَجَاهَلُ
obvious,وَاضِح
physics,فِيزْيَاء
portion,جُزْء
remind,يُذَكِّرُ
secretary,سِكْرِتِير
severe,شَدِيد
talent,مَوْهِبَة
thesis,أُطْرُوحَة
uniform,زِيّ مُوَحَّد
vision,رُؤْيَة
absorb,يَمْتَصُّ
boss,رَئِيس
charitable,خَيْرِيّ
committee,لَجْنَة
contract,عَقْد
crew,طَاقَم
devote,يُكَرِّسُ
dig,يَحْفِرُ
dine,يَتَنَاوَلُ الْعَشَاء
donate,يَتَبَرَّعُ
double,مُضَاَعَف
flavor,نَكْهَة
foundation,مُؤَسَّسَة
generation,جِيل
handle,مِقْبَض
layer,طَبَقَة
mud,طِين
smooth,نَاعِم
soil,تُرْبَة
unique,فَرِيد
academy,أَكَادِيمِيَّة
ancient,قَدِيم
board,لَوْح
century,قَرْن
clue,دَلِيل
concert,حَفْل مُوسِيقِيّ
county,مُقَاطَعَة
dictionary,قَامُوس
exist,يُوجَدُ
flat,مُسَطَّح
gentleman,رَجُل نَبِيل
hidden,مَخْفِيّ
maybe,رُبَّمَا
officer,ضَابِط
original,أَصْلِيّ
pound,يَطْرُقُ
process,عَمَلِيَّة
publish,يَنْشُرُ
theater,مَسْرَح
wealth,ثَرْوَة
aim,هَدَف
attach,يُرْفِقُ
bet,يُرَاهِنُ
carriage,عَرَبَة
classic,تَقْلِيدِيّ
commute,يَنْتَقِلُ
confirm,يُؤَكِّدُ
criticize,يَنْتَقِدُ
differ,يَخْتَلِفُ
expense,نَفَقَة
formal,رَسْمِيّ
height,ارْتِفَاع
invent,يَخْتَرِعُ
junior,مُبْتَدِئ
labor,عَمَل
mechanic,مِيكَانِيكِيّ
prime,أَسَاسِيّ
shift,يَنْتَقِلُ
signal,إِشَارَة
sincere,صَادِق
ability,قُدْرَة
agriculture,زِرَاعَة
cartoon,رُسُوم مُتَحَرِّكَة
ceiling,سَقْف
convince,يُقْنِعُ
curious,فُضُولِيّ
delay,يُؤَخِّرُ
diary,يَوْمِيَّات
element,عُنْصُر
faith,إِيمَان
grain,حَبَّة
greet,يُحَيِّي
investigate,يُحَقِّقُ
joy,فَرَح
label,مُلْصَق
monk,رَاهِب
odd,غَرِيب
pause,يَتَوَقَّفُ
priest,كَاهِن
profession,مِهْنَة
ball,كُرَة
bottom,أَسْفَل
company,شَرِكَة
drink,يَش��رَبُ
few,قَلِيل
line,خَطّ
pet,حَيَوَان أَلِيف
product,مُنْتَج
responsible,مَسْؤُول
sell,يَبِيعُ
snake,ثُعْبَان
stand,يَقِفُ
strange,غَرِيب
tea,شَاي
test,يَخْتَبِرُ
tongue,لِسَان
they,هُمْ
type,نَوْع
very,جِدًّا
wait,يَنْتَظِرُ
accomplish,يُنْجِزُ
approve,يُوَافِقُ
approximate,تَقْرِيبِيّ
barrier,حَاجِز
detect,يَكْتَشِفُ
duty,وَاجِب
elementary,ابْتِدَائِيّ
failure,فَشَل
gradual,تَدْرِيجِيّ
immigrant,مُهَاجِر
insert,يُدْخِلُ
instant,لَحْظَة
poverty,فَقْر
pretend,يَتَظَاهَرُ
rank,رُتْبَة
recognition,تَقْدِير
refrigerate,يُبَرِّدُ
rent,إِيجَار
retire,يَتَقَاعَدُ
statistic,إِحْصَائِيَّة
accident,حَادِث
astronaut,رَائِد فَضَاء
awake,مُسْتَيْقِظ
courage,شَجَاعَة
float,يَطْفُو
grant,يَمْنَحُ
gravity,جَاذِبِيَّة
jewel,جَوْهَرَة
miner,عَامِل مِنْجَم
mineral,مَعْدِن
participate,يُشَارِكُ
permission,إِذْن
pour,يَصُبُّ
raw,خَام
satellite,قَمَر صِنَاعِيّ
scale,مِقْ��َاس
skip,يَتَخَطَّى
stretch,يَتَمَدَّدُ
telescope,تِلِسْكُوب
underground,تَحْتَ الْأَرْض
alarm,إِنْذَار
arrest,يَعْتَقِلُ
award,جَائِزَة
breed,سُلَالَة
bucket,دَلْو
contest,مُسَابَقَة
convict,يُدِينُ
festival,مِهْرَجَان
garage,مَرْأَب
journalist,صَحَفِيّ
pup,جَرْو
qualify,يَتَأَهَّلُ
repair,يُصْلِحُ
resume,يَسْتَأْنِفُ
rob,يَسْرِقُ
slip,يَنْزَلِقُ
somewhat,إِلَى حَدٍّ مَا
stable,مُسْتَقِرّ
tissue,مِنْدِيل وَرَقِيّ
yard,فِنَاء
best,أَفْضَل
card,بِطَاقَة
crowd,حَشْد
day,يَوْم
dish,طَبَق
easy,سَهْل
experience,يُجَرِّبُ
hotel,فُنْدُق
hour,سَاعَة
light,ضَوْء
market,سُوق
plan,يُخَطِّطُ
price,سِعْر
short,قَصِير
shop,يَتَسَوَّقُ
station,مَحَطَّة
surprise,يُفَاجِئُ
system,نِظَام
taxi,سَيَّارَة أُجْرَة
two,اثْنَان
bath,حَمَّام
bend,يَنْحَنِي
chew,يَمْضُغُ
disabled,مُعَاق
fantastic,رَائِع
fiction,خَيَال
flag,عَلَم
inspect,يُفَتِّشُ
journal,مَجَلَّة
liquid,سَائِل
marvel,يَتَعَجَّبُ
overcome,يَتَغَلَّبُ عَلَى
recall,يَتَذَكَّرُ
regret,يَنْدَمُ
soul,رُوح
sufficient,كَافٍ
surgery,جِرَاحَة
tough,صَعْب
tube,أُنْبُوب
value,قِيمَة
atom,ذَرَّة
beautiful,جَمِيل
breadth,عَرْض
comet,مُذَنَّب
cover,يُغَطِّي
despair,يَأْس
form,يُشَكِّلُ
fragment,شَظِيَّة
galaxy,مَجَرَّة
gloom,كَآبَة
large,كَبِير
moon,قَمَر
radiate,يُشِعُّ
roam,يَجُولُ
solitary,مُنْعَزِل
spectrum,طَيْف
sphere,كُرَة
star,نَجْم
status,مَكَانَة
ugly,قَبِيح
accuse,يَتَّهِمُ
adjust,يُعَدِّلُ
amuse,يُسَلِّي
coral,مَرْجَان
cotton,قُطْن
crash,يَصْطَدِمُ
deck,سَطْح
engage,يَنْخَرِطُ
firm,صُلْب
fuel,وَقُود
grand,عَظِيم
hurricane,إِعْصَار
loss,خَسَارَة
plain,بَسِيط
reef,شِعْب مَرْجَانِيّ
shut,يُغْلِقُ
strict,صَارِم
surf,يَرْكَبُ الْأَمْوَاج
task,مُهِمَّة
zone,مِنْطَقَة
apology,اعْتِذَار
bold,جَرِيء
bug,حَشَرَة
capture,يَأْسِرُ
duke,دُوق
expose,يَكْشِفُ
guilty,مُذْنِب
hire,يَسْتَأْجِرُ
innocent,بَرِيء
language,لُغَة
minister,وَزِير
ordinary,عَادِيّ
permanent,دَائِم
preserve,يَحْفَظُ
pronounce,يَنْطِقُ
resemble,يُشْبِهُ
symptom,عَرَض
